Cod_setor,Situacao_setor,V001,V109,V110
250160905000008,1,184,0,MULHER
250160905000009,8,138,1,MULHER
250160905000010,8,287,0,MULHER
250160905000011,8,298,0,MULHER
250160905000012,8,196,0,MULHER
250160905000013,8,100,0,MULHER
250160905000014,8,224,0,MULHER
250160905000015,8,144,0,MULHER
250160905000016,8,184,0,MULHER
250160905000017,5,68,0,MULHER
250160905000018,5,32,0,MULHER
250160905000019,1,207,11,MULHER
250160905000020,1,150,0,MULHER
250160905000021,1,66,0,MULHER
250160905000022,1,179,0,MULHER
250160905000023,1,193,0,MULHER
250160905000024,1,87,0,MULHER
250160905000025,1,101,0,MULHER
250170805000001,1,150,0,MULHER
250170805000002,1,164,0,MULHER
250170805000003,8,122,0,MULHER
250170805000004,8,124,1,MULHER
250170805000005,8,141,0,MULHER
250170805000006,8,263,1,MULHER
250170805000007,5,54,0,MULHER
250170805000008,5,198,0,MULHER
250170805000009,1,169,0,MULHER
250170805000010,1,250,0,MULHER
250180705000001,1,65,0,MULHER
250180705000002,1,282,0,MULHER
250180705000003,1,183,61,MULHER
250180705000004,1,226,0,MULHER
250180705000005,1,216,0,MULHER
250180705000006,1,291,0,MULHER
250180705000007,1,220,0,MULHER
250180705000008,1,150,0,MULHER
250180705000009,1,255,7,MULHER
250180705000010,1,307,151,MULHER
250180705000011,1,215,0,MULHER
250180705000012,1,419,115,MULHER
250180705000013,1,370,0,MULHER
250180705000014,1,241,0,MULHER
250180705000015,1,322,84,MULHER
250180705000016,1,240,0,MULHER
250180705000017,1,318,0,MULHER
250180705000018,1,316,11,MULHER
250180705000019,1,312,0,MULHER
250180705000020,1,150,0,MULHER
250180705000021,1,201,0,MULHER
250180705000022,1,354,0,MULHER
250180705000023,1,232,0,MULHER
250180705000024,1,289,0,MULHER
250180705000025,1,340,0,MULHER
250180705000026,1,260,0,MULHER
250180705000027,1,226,2,MULHER
250180705000028,1,358,269,MULHER
250180705000029,1,280,0,MULHER
250180705000030,1,326,428,HOMEM
250180705000031,1,333,0,MULHER
250180705000032,1,303,0,MULHER
250180705000033,1,232,0,MULHER
250180705000034,1,374,0,MULHER
250180705000035,1,179,0,MULHER
250180705000036,1,302,0,MULHER
250180705000037,1,71,0,MULHER
250180705000038,1,186,0,MULHER
250180705000039,1,202,0,MULHER
250180705000040,1,99,0,MULHER
250180705000041,1,318,0,MULHER
250180705000042,1,250,16,MULHER
250180705000043,1,183,0,MULHER
250180705000044,1,212,0,MULHER
250180705000045,1,252,0,MULHER
250180705000046,1,248,0,MULHER
250180705000047,1,294,0,MULHER
250180705000048,1,66,0,MULHER
250180705000049,1,350,0,MULHER
250180705000050,1,207,0,MULHER
250180705000051,1,233,0,MULHER
250180705000052,1,194,0,MULHER
250180705000053,1,273,0,MULHER
250180705000054,1,208,0,MULHER
250180705000055,1,235,128,MULHER
250180705000056,1,259,0,MULHER
250180705000057,1,166,1,MULHER
250180705000058,1,273,4,MULHER
250180705000059,1,301,136,MULHER
250180705000060,1,255,0,MULHER
250180705000061,1,287,0,MULHER
250180705000062,1,280,0,MULHER
250180705000063,1,169,0,MULHER
250180705000065,1,186,0,MULHER
250180705000066,1,216,186,MULHER
250180705000067,1,193,9,MULHER
